4326.5386,22
4324.2591,21
4321.9099,20
4319.5063,19
4316.9988,18
4314.4363,17
4311.8041,16
4309.1074,15
4306.3328,14
4303.4724,13
4300.5473,12
4297.5582,11
4294.4799,10
4291.3531,9
4288.1323,8
4284.86,7
4281.5012,6
4278.0837,5
4274.5933,4
4271.0137,3
4267.4107,2
4263.6909,1
4256.0443,-1
4252.1535,-2
4248.1682,-3
4244.1132,-4
4239.999,-5
4235.7986,-6
4231.5371,-7
4227.2202,-8
4222.8102,-9
4218.3469,-10
4213.7921,-11
4209.209,-12
4204.5224,-13
4199.7823,-14
4194.9715,-15
4190.0981,-16
4185.1312,-17
4180.158,-18
4175.0375,-19
4169.9207,-20
4164.6626,-21